Name,Value,Wage
Lukas Jäger,€650K,€3K
Nemanja Antonov,€650K,€3K
Christian Ilić,€825K,€2K
Jordi Figueras Montel,€350K,€2K
Shota Arai,€375K,€2K
Ryo Takeuchi,€475K,€1K
Maxime Etuin,€750K,€2K
Borja Garcés Moreno,€1200K,€7K
Jasper Schendelaar,€925K,€1K
Matt Crooks,€675K,€3K
Sebastian Ohlsson,€600K,€4K
Liam Kinsella,€750K,€5K
Seung Won Yoon,€700K,€2K
Aly Ndom,€775K,€2K
Mukhtar Ali,€750K,€7K
Nikita Medvedev,€625K,€7K
CJ Hamilton,€775K,€5K
Sebastián Córdova,€875K,€11K
Jason Davidson,€475K,€2K
Elias Andersson,€750K,€1K
Birama Ndoye,€650K,€7K
Okan Kocuk,€550K,€9K
Dominic Baumann,€725K,€2K
Ben Kantie Karamoko,€675K,€1K
Joel Soñora,€825K,€3K
Jon Moncayola Tollar,€825K,€5K
Miłosz Szczepański,€850K,€1K
Vitor Caetano Ferreira,€625K,€2K
Omar Beckles,€550K,€3K
Callum McFadzean,€600K,€5K
Won Jin Jung,€700K,€2K
Justice Chabalala,€575K,€1K
Asmir Suljić,€575K,€2K
Dionicio Escalante,€450K,€4K
Asier Benito Sasiain,€775K,€3K
Young Jae Seo,€650K,€3K
José Alejandro Suárez Suárez,€625K,€3K
Jonathan Obika,€550K,€3K
Mikkel Desler,€675K,€1K
René Bugueño,€400K,€1K
Timur Zhamaletdinov,€925K,€3K
Kelvin Arase,€850K,€4K
Jelle Bataille,€800K,€3K
Enriko Papa,€650K,€3K
Aurélien Tertereau,€550K,€2K
Danny Mayor,€525K,€5K
Harry Pell,€600K,€4K
Yaw Amankwah,€450K,€1K
Tom Mickel,€375K,€3K
Simone Calvano,€625K,€1K
Pascal Breier,€625K,€2K
Joachim Eickmayer,€600K,€2K
Steve Kroll,€625K,€1K
Nilson Castrillón,€750K,€1K
Iván Morales,€950K,€2K
Pedro Díaz Fanjul,€925K,€2K
Alihan Kubalas,€575K,€5K
Emir Karic,€675K,€3K
Hélder Bafode Baldé,€700K,€2K
Lukáš Droppa,€450K,€3K
Charalampos Lykogiannis,€575K,€7K
Keanu Baccus,€700K,€2K
Pierre Bardy,€550K,€2K
Vitor Gomes Pereira Jr.,€500K,€2K
Viktor Prodell,€475K,€2K
Lucas Giovini,€50K,€1K
Erivaldo Jorge Paulo Ferreira,€650K,€3K
Taylan Antalyalı,€700K,€12K
Khephren Thuram,€1000K,€2K
Michał Gliwa,€350K,€1K
Alex Cairns,€525K,€2K
Nam Chun Kim,€450K,€2K
Yong Hwan Kim,€575K,€2K
Joaquín Varela,€800K,€3K
Boris Sekulić,€525K,€2K
Ricardo Rodríguez Gil,€925K,€2K
Mihai Răduț,€525K,€3K
Thibaut Vion,€575K,€2K
Łukasz Sekulski,€550K,€2K
Durel Avounou,€875K,€2K
Kgotso Moleko,€450K,€1K
Goran Karanović,€475K,€3K
Joël Piroe,€1200K,€2K
Marcin Budziński,€475K,€2K
Jens Jakob Thomasen,€825K,€4K
Brandon Mason,€800K,€2K
Jorge Cuenca Barreno,€950K,€13K
Andrei Vlad,€750K,€2K
Ronny König,€190K,€1K
Christopher Routis,€500K,€4K
Ryan Inniss,€675K,€3K
Yong Woo Ahn,€575K,€2K
Ever Valencia,€825K,€1K
Adrián Castellano Cobacho,€625K,€3K
José Manuel Hernando Riol,€900K,€18K
Xian Emmers,€900K,€2K
Arkadiusz Kasperkiewicz,€625K,€1K
Ibréhima Coulibaly,€475K,€2K
Stéphane Darbion,€240K,€2K
Lewis Stevenson,€400K,€2K
Carlos Benavídez,€800K,€3K
Metehan Güçlü,€1200K,€8K
Brad Smith,€625K,€2K
Cristian Flórez,€625K,€1K
Benjaloud Youssouf,€625K,€2K
Tyronne Ebuehi,€650K,€3K
Iván Santillán,€550K,€3K
Norberto Briasco,€800K,€4K
Florian Hansch,€725K,€2K
Jairo González,€525K,€3K
Matt Ingram,€550K,€3K
Guillaume Dequaire,€525K,€2K
Chao He,€750K,€5K
Curtis Main,€625K,€3K
Bruno Ferreira V. Diniz,€450K,€2K
Marcelo Jorquera,€575K,€1K
Michael Lepe,€525K,€1K
Jamie Lindsay,€775K,€3K
Joey Konings,€875K,€2K
Adam Matuszczyk,€450K,€3K
Luciano Slagveer,€650K,€2K
Merveille Goblet,€550K,€2K
Eric Miller,€600K,€2K
Mats Knoester,€900K,€2K
Victor Rîmniceanu,€375K,€2K
Luuk Koopmans,€500K,€2K
Luca Verna,€650K,€1K
Mauricio Restrepo,€120K,€1K
Guillermo Donoso Alonso,€700K,€2K
René Gartler,€350K,€5K
Luke Joyce,€400K,€3K
Scott Davies,€325K,€2K
Mustafa Abdellaoue,€525K,€2K
Quincy Amarikwa,€475K,€3K
Joel Graterol,€0,€0
Christy Pym,€550K,€2K
Christian Jakobsen,€625K,€4K
Tomás Conechny,€850K,€2K
Dennis Eckert Ayensa,€875K,€2K
Juan Berrocal González,€1100K,€2K
Willy Semedo,€675K,€2K
Arial Mendy,€650K,€2K
Yunlong Fan,€500K,€4K
Dean Bouzanis,€400K,€3K
Mitchell Duke,€550K,€3K
Khiry Shelton,€675K,€7K
Peter Wilson,€875K,€1K
Abu Ogogo,€525K,€3K
Enrique López Fernández,€625K,€3K
Moises Hernandez,€525K,€2K
George Thomas,€925K,€14K
Harry Chapman,€850K,€4K
Kaoru Takayama,€500K,€2K
Ryo Nagai,€550K,€2K
Aarón Escandell,€575K,€3K
Sinan Bakış,€700K,€4K
Leandro Putaro,€750K,€2K
Wenzhao Zhang,€425K,€4K
Toyofumi Sakano,€550K,€2K
Jean Carlos Becerra,€675K,€1K
Vaso Vasić,€450K,€3K
Iván Márquez Álvarez,€625K,€2K
Salvatore Aloi,€775K,€1K
Louis Thompson,€750K,€3K
Cristian Rodríguez Pérez,€825K,€2K
Niklas Gunnarsson,€475K,€2K
Matthieu Sans,€400K,€2K
Francisco Pablo Cruz Torres,€475K,€2K
Yuhao Zhao,€625K,€4K
Álvaro Fernández Llorente,€775K,€1K
Dru Yearwood,€1100K,€6K
Stephane Acka,€475K,€3K
Argyris Kampetsis,€950K,€1K
Ryan McGowan,€450K,€3K
Keaghan Jacobs,€525K,€2K
Nigel Boogaard,€350K,€1K
Andreas Lukse,€350K,€3K
Sergio Camello Pérez,€1100K,€5K
Ethan Ebanks-Landell,€550K,€3K
Selim Gündüz,€650K,€3K
Mickaël Latour,€750K,€2K
Fabian Herbers,€650K,€2K
Aaron Connolly,€1200K,€7K
Liam Feeney,€425K,€3K
Daniel Vivian Moreno,€950K,€3K
Luis Delgado,€50K,€1K
Connal Trueman,€675K,€2K
Taylor Moore,€750K,€8K
Franco Lobos,€1200K,€1K
Qazim Laçi,€775K,€2K
Iván Crespo Secunza,€240K,€2K
Furkan Soyalp,€700K,€3K
Oliver Rathbone,€825K,€2K
Josua Mejías,€800K,€7K
Sergiu Buș,€675K,€3K
Vamara Sanogo,€725K,€3K
Lars Krogh Gerson,€450K,€3K
Nicolás Avellaneda,€525K,€3K
Ante Erceg,€550K,€6K
Samuel Portugal Lima,€525K,€2K
Leonel Justiniano,€0,€0
Ronald Araujo,€1100K,€18K
Aaron Wildig,€625K,€3K
Tom Eastman,€550K,€4K
Danny Rose,€675K,€5K
Frankie Kent,€800K,€3K
Rasmus Nicolaisen,€725K,€5K
Rodolfo Zelaya,€525K,€3K
Florian Krüger,€950K,€2K
Alan Acosta,€825K,€2K
Marcel Ruiz,€975K,€1K
Enzo Coacci,€875K,€3K
Yasin Pehlivan,€450K,€4K
Dillon Powers,€525K,€2K
Bastián San Juan,€600K,€1K
Luis Mosquera,€425K,€1K
Stefan Scougall,€650K,€4K
Fabien Ourega,€625K,€2K
Håkon Opdal,€50K,€1K
Matt Done,€500K,€2K
Moses Opondo,€800K,€3K
Ricardo Schuck Friedrich,€525K,€1K
Víctor Mollejo Carpintero,€1100K,€1K
Donglu Sui,€110K,€3K
Wilmar Jordán,€550K,€1K
Gabriel Vargas,€250K,€1K
Filip Jagiełło,€800K,€3K
Matías Sepúlveda,€875K,€2K
Chang Soo Kim,€240K,€2K
Ismael Cerro Sánchez,€750K,€3K
Simon Rhein,€800K,€2K
Eduardo Filipe Quaresma,€1000K,€1K
Saad Abdul-Salaam,€475K,€2K
Moses Ogbu,€550K,€3K
Jaime Seoane Valenciano,€850K,€2K
Lucas Da Silva Xavier,€675K,€4K
Alim Öztürk,€575K,€4K
Luca Meisl,€800K,€3K
Mauro Fernández,€500K,€5K
Richard Ruiz,€240K,€6K
Dabney Dos Santos,€725K,€2K
Nathan De Medina,€775K,€2K
Murilo Cerqueira Paim,€850K,€9K
Benjamin Hansen,€625K,€1K
Matias Cavalleri,€875K,€1K
Manuel Castro,€750K,€4K
Nils Miatke,€525K,€1K
Gilli Rólantsson,€575K,€2K
Abdiel Arroyo,€700K,€2K
Francisco López Manzanara,€800K,€2K
Remy Boissier,€675K,€2K
Alberto Gerbo,€525K,€1K
Alassane N'Diaye,€550K,€2K
Gustavo Hamer,€650K,€2K
Michael O'Connor,€475K,€4K
Evert Linthorst,€900K,€1K
Jørgen Skjelvik,€475K,€2K
Stephan Auer,€475K,€5K
Lewis Ochoa,€190K,€1K
Gaetano Castrovilli,€825K,€10K
Florian Carstens,€775K,€3K
Stian Ringstad,€475K,€1K
Vincent Vermeij,€700K,€1K
Stephen Humphrys,€825K,€2K
Dujon Sterling,€1100K,€2K
Eloge Yao,€675K,€2K
Antonio C. Glauder García,€750K,€2K
Magnus Lekven,€475K,€2K
Gregory Wüthrich,€675K,€2K
Manfred Osei Kwadwo,€725K,€2K
Tomasz Loska,€575K,€1K
Frederik Gytkjær,€675K,€4K
Navajo Bakboord,€800K,€2K
Florian Chabrolle,€925K,€6K
Jose Maria Nuñez Martín,€925K,€2K
Ovidiu Bic,€625K,€2K
Mattia Minesso,€525K,€1K
Kristoffer Tokstad,€575K,€1K
Viktor Agardius,€500K,€1K
Srgian Luchin,€260K,€2K
Stephan Drăghici,€850K,€2K
Marco Carnesecchi,€975K,€1K
Micheal Fabbro,€775K,€1K
André Danielsen,€210K,€1K
Kevin Vermeulen,€550K,€2K
Mo Eisa,€725K,€3K
Nicolás Sessa,€750K,€2K
Stephen Odey,€850K,€4K
Dominik Kotarski,€975K,€2K
David Ball,€525K,€2K
Adam Thompson,€575K,€3K
Myung Joo Lee,€525K,€3K
David Edwards,€325K,€3K
Javier Díaz Sánchez,€675K,€3K
Maximiliano Ortíz,€0,€0
Jun A Yang,€450K,€1K
Giacomo Beretta,€625K,€1K
Chang Geun Lee,€525K,€1K
Alessandro Mastalli,€700K,€1K
Haithem Loucif,€650K,€5K
Dominik Reimann,€625K,€3K
Yuji Rokutan,€325K,€1K
Gauthier Hein,€800K,€2K
Ibrahim Drešević,€750K,€2K
Mohamed Diaby,€700K,€2K
Alex Rufer,€575K,€1K
Tommy McNamara,€450K,€2K
Stephen Dooley,€475K,€2K
Tae Hwi Kwak,€90K,€1K
Phillip Tietz,€650K,€4K
Maciej Gostomski,€300K,€1K
Janick Kamber,€450K,€2K
Jeroen Houwen,€450K,€3K
Cyrill Akono,€975K,€4K
Chris Hussey,€350K,€3K
Jordy Hiwula,€575K,€3K
Victor Luiz Prestes Filho,€650K,€1K
Pablo Cortizo,€425K,€4K
Servando Carrasco,€375K,€2K
Luca de la Torre,€725K,€7K
Allison Alan Peixoto Gomes,€140K,€2K
Hirofumi Watanabe,€325K,€2K
Takeshi Kanamori,€600K,€2K
Jaroslav Mihalík,€550K,€2K
Joyskim Dawa Tchakonte,€0,€0
Ole Söderberg,€400K,€1K
Wes Burns,€625K,€3K
Vegard Bergan,€575K,€1K
Nicolas Feldhahn,€290K,€2K
Fernando Arismendi,€450K,€1K
Ben Kantarovski,€425K,€1K
Anthony Belmonte,€650K,€2K
Louis Fenton,€475K,€1K
Daniel Anyembe,€750K,€2K
Mushaga Bakenga,€550K,€1K
Daniel Berntsen,€550K,€1K
François Marquet,€575K,€3K
Kasper Enghardt,€475K,€3K
Tom Pope,€280K,€4K
Áron Dobos,€775K,€2K
Andreas Ivan,€625K,€2K
Joe Mason,€475K,€3K
Caolan Lavery,€550K,€5K
Olivier Custodio,€600K,€2K
Bradley Collins,€500K,€2K
Nuno Alberto Macedo Pereira,€550K,€1K
Rob Kiernan,€400K,€3K
Assaf Ahmed Al Qarni,€120K,€4K
Sergio Román,€475K,€1K
Daniel Granli,€525K,€2K
Marlon Torres,€700K,€1K
Dimitry Bertaud,€650K,€3K
Juan Pablo Vargas,€600K,€1K
Alexandre Phliponeau,€900K,€4K
Kyle Dempsey,€625K,€2K
Deklan Wynne,€550K,€2K
Elias Huth,€675K,€1K
Dylan Wenzel-Halls,€750K,€1K
Jefferson Silva Encada,€675K,€2K
Rhys Bennett,€450K,€3K
Sean Hoare,€525K,€1K
Moritz Nicolas,€650K,€4K
David Achucarro,€450K,€1K
Richard Foster,€200K,€2K
Janoi Donacien,€500K,€3K
Joris Kramer,€550K,€2K
Nico Schlotterbeck,€650K,€3K
Mateus Bernardo Couteira Machado,€140K,€2K
Fatih Aksoy,€725K,€2K
Anderson Castelo Branco,€700K,€2K
Óscar Gil Regaño,€625K,€1K
Dominik Stroh-Engel,€280K,€2K
Alasana Manneh,€975K,€1K
Rolf Daniel Vikstøl,€350K,€1K
Laros Duarte,€650K,€2K
Nico Neidhart,€525K,€1K
Erik Hurtado,€475K,€2K
Ronaldo Lucena,€750K,€1K
Youssef Fouzai,€400K,€5K
Sven Kreyer,€475K,€2K
Ballou Tabla,€775K,€2K
Albin Granlund,€375K,€1K
Filip Kusić,€600K,€2K
Allan Norberto Vasquez Sobrinho,€325K,€3K
Cafer Tosun,€825K,€4K
Billy McKay,€425K,€2K
Jordan Williams,€650K,€1K
Adam Andersson,€575K,€1K
Ryo Shinzato,€450K,€2K
Antoni Sarcevic,€500K,€5K
Nasser Chamed,€550K,€3K
Ricardo José Cecília Batista,€270K,€2K
Yonathan Andia,€450K,€1K
Arthur Silva Feitoza,€575K,€2K
Patrick Berg,€600K,€1K
Karol Fila,€700K,€2K
Sebastian Saucedo,€700K,€2K
Junjian Liao,€500K,€3K
Jumpei Kusukami,€400K,€1K
Yunus Akgün,€925K,€4K
Khalid Ahmed Al Ghamdi,€325K,€5K
Regan Poole,€750K,€2K
Yilton Díaz,€475K,€1K
Luís Silva,€750K,€1K
Tommaso Berni,€80K,€6K
Rui Miguel Guerra Perres,€725K,€1K
Dean Moxey,€210K,€3K
Yúber Asprilla,€525K,€1K
Thomas Gebauer,€50K,€1K
Bartosz Slisz,€750K,€1K
Enzo Loiodice,€925K,€1K
Airam Benito Viera,€450K,€2K
Ilgyu Park,€375K,€1K
Berat Ayberk Özdemir,€975K,€3K
Juvhel Tsoumou,€475K,€4K
Callum Reilly,€550K,€2K
Brian Rowe,€350K,€2K
Claudio Igor Mouria Silva,€475K,€8K
Avdo Spahic,€500K,€1K
Hiroyuki Taniguchi,€170K,€1K
Barry Fuller,€160K,€3K
Edis Ibargüen,€525K,€1K
Edgar Zaldívar,€725K,€4K
Matti Lund Nielsen,€375K,€1K
Jianrong Zhu,€475K,€4K
Lachlan Wales,€625K,€3K
Franco Boló,€575K,€1K
Eduardo David Espiau Hernández,€625K,€6K
Jake Larsson,€675K,€1K
Maurice Litka,€700K,€1K
Niall Mason,€575K,€3K
Cristian Tarragona,€475K,€4K
Sammy Skytte,€650K,€1K
Seifedin Chabbi,€550K,€4K
Aubin Kouakou,€400K,€5K
Kingsley Madu,€550K,€3K
Carlos Moros Gracia,€525K,€1K
Roberto Massimo,€800K,€2K
Chris Mueller,€675K,€2K
Prince Osei Owusu,€650K,€1K
Hendrik Hansen,€550K,€2K
Cosmin Vâtcă,€50K,€2K
Rafael Garcia,€525K,€1K
Jordan Clarke,€400K,€4K
Oliver Turton,€500K,€3K
Jesús Marimón,€725K,€1K
Tao Jiang,€350K,€4K
Hugo Silveira,€575K,€4K
Abdullah Al Zori,€325K,€5K
Mauricio Rosales,€450K,€4K
Constantin Dima,€775K,€1K
Wilson Cuero,€525K,€1K
Pierce Sweeney,€500K,€3K
Patryk Tuszyński,€450K,€2K
Lucas Mancinelli,€450K,€4K
Nama Fofana,€375K,€2K
Jonah Osabutey,€775K,€3K
José-Junior Matuwila,€400K,€1K
Ziggy Gordon,€500K,€1K
Kamil Grabara,€850K,€4K
Mārcis Ošs,€475K,€2K
Andrija Vukčević,€550K,€2K
Christer Gustafsson,€350K,€1K
Jordan Bowery,€475K,€3K
Josh Ruffels,€525K,€2K
Honglue Zhao,€375K,€4K
Charles-André Doudin,€350K,€2K
Jesper Arvidsson,€160K,€1K
Graham Smith,€575K,€2K
Daniel Popa,€625K,€3K
Aaron Pierre,€525K,€2K
Paulo Retre,€475K,€2K
Jonathan Burkardt,€950K,€3K
Andrei Lupu,€825K,€4K
Javier Méndez,€525K,€3K
Richard Sánchez,€425K,€1K
Pablo Lima,€400K,€1K
Paul Green,€140K,€3K
Matt Preston,€500K,€4K
Malaly Dembélé,€675K,€2K
Ariel Martínez,€575K,€2K
Morten Ågnes Konradsen,€625K,€1K
Tony Andreu,€400K,€2K
Ryan Hardie,€675K,€3K
Kyle McAllister,€1000K,€2K
Etienne Vaessen,€450K,€1K
James Kotei,€525K,€1K
Michael Harriman,€450K,€4K
Kean Bryan,€675K,€6K
Übeyd Adıyaman,€650K,€2K
Joaninho Marvin Chagas Silva,€400K,€4K
Josh Mullin,€475K,€2K
Kristoffer Larsen,€475K,€1K
İsmail Çipe,€425K,€2K
Karl Larson,€400K,€1K
Justin Dhillon,€625K,€2K
Lloyd Dyer,€150K,€2K
Marko Simonovski,€525K,€2K
Ritchie Kitoko,€325K,€2K
Juan José Salcedo,€550K,€1K
Jhonny Quiñónez,€625K,€2K
Jonathan Bond,€450K,€7K
Joe Riley,€450K,€4K
Mairdel Kaíque Sampaio Muttinho,€400K,€3K
Timo Stavitski,€850K,€2K
Diogo Fesnard Nogueira Sousa,€650K,€1K
Yun Pyo Lee,€170K,€1K
Jordi Cortizo,€675K,€2K
İlkay Durmuş,€575K,€2K
Fernando Cardozo,€650K,€1K
Adrian Stanilewicz,€950K,€7K
Tim Hölscher,€600K,€2K
Seung Gyu Han,€650K,€2K
Johan Mårtensson,€425K,€2K
Enes Sağlik,€475K,€4K
Tsubasa Endoh,€525K,€2K
Rory McArdle,€290K,€4K
Ryutaro Iio,€450K,€2K
Radu Boboc,€650K,€2K
Alonso Zamora,€450K,€2K
Kwesi Appiah,€475K,€3K
Dominik Hofbauer,€450K,€4K
Orhan Ademi,€525K,€2K
Marcin Cebula,€600K,€1K
Kearyn Baccus,€475K,€1K
Lenny Pintor,€950K,€1K
Ali Al Nemer,€475K,€6K
Adam Rooney,€400K,€5K
Gilbert Álvarez,€0,€0
Hiroki Mizumoto,€210K,€1K
Ioannis Gelios,€400K,€3K
Yohan Demoncy,€600K,€2K
Oğuzhan Akgün,€900K,€3K
Mohamed Taabouni,€900K,€1K
Nathaniel Knight-Percival,€290K,€3K
Zak Vyner,€575K,€2K
RJ Allen,€375K,€2K
Carlos Daniel Hidalgo,€280K,€1K
Stephen McLaughlin,€450K,€3K
Joel Chianese,€450K,€2K
Néstor Breitenbruch,€575K,€2K
Andreias Calcan,€575K,€3K
Ian Sirelius,€400K,€1K
Yann Kitala,€750K,€2K
Tommi Vaiho,€300K,€1K
Simon Piesinger,€425K,€3K
Luís Carlos Almada Soares,€270K,€2K
Gabriel Díaz,€425K,€3K
Petar Slišković,€475K,€1K
Tobias Karlsson,€375K,€1K
Andrés Mosquera,€400K,€1K
Henri Weigelt,€725K,€2K
Andrés Colorado,€725K,€1K
Jayson Leutwiler,€300K,€4K
Soo Beom Kim,€375K,€2K
Mikel Iribas Aliende,€325K,€2K
Pietro Ceccaroni,€550K,€1K
Niklas Hoheneder,€290K,€1K
Jeong Un Hong,€600K,€1K
Ross Sykes,€675K,€1K
Mikael Soisalo,€700K,€3K
Takayoshi Ishihara,€475K,€2K
Steve Rouiller,€450K,€3K
Atomu Tanaka,€400K,€2K
Bobby Olejnik,€270K,€4K
David Niepsuj,€525K,€2K
Morgan Feeney,€925K,€10K
Sami Al Khaibari,€375K,€5K
Rasmus Minor,€325K,€3K
Flamur Kastrati,€525K,€1K
Manuel Schwenk,€475K,€2K
Aaron Calver,€550K,€1K
Brayan Perea,€550K,€1K
Alexander Stølås,€350K,€1K
Gédéon Kalulu,€700K,€1K
Leonardo Cordeiro Lima Silva,€625K,€2K
Mirko Eramo,€425K,€1K
Görkem Sağlam,€875K,€3K
Böðvar Böðvarsson,€550K,€2K
Bryan Passi,€725K,€1K
Oleksandr Pikhalyonok,€750K,€1K
Seref Özcan,€675K,€1K
Ryan Bowman,€475K,€4K
Damian Węglarz,€425K,€2K
Abdulelah Al Malki,€525K,€6K
Nico Karger,€525K,€1K
Derick Osei Yaw,€775K,€4K
Tshegofatso Mabasa,€625K,€1K
Liridon Kalludra,€500K,€1K
Seok Ho Hwang,€375K,€1K
Paul Pîrvulescu,€350K,€1K
Lion Lauberbach,€700K,€3K
Matt Bloomfield,€190K,€2K
Simon Jakobsen,€400K,€3K
Álvaro Angulo,€650K,€1K
Anton Walkes,€600K,€3K
Reuven Niemeijer,€600K,€2K
Vlatko Stojanovski,€625K,€5K
Hayuma Tanaka,€150K,€1K
Gudmund Broks Kongshavn,€375K,€1K
Scott Neville,€350K,€1K
Mathias Nielsen,€400K,€3K
Maksim Glushenkov,€975K,€7K
Akeem Latifu,€375K,€1K
Gianluca Korte,€450K,€1K
Timothée Dieng,€500K,€3K
Alejandro Centelles Plaza,€775K,€1K
Ellis Simms,€950K,€7K
Raffael Korte,€450K,€1K
Sebastián Rodríguez,€525K,€2K
Víctor Milke,€550K,€2K
Cristián Rojas,€210K,€1K
Patrick Olsen,€600K,€3K
Luis Hernández,€550K,€4K
Aníbal Moreno,€1000K,€3K
Franck Julienne,€450K,€2K
Pengfei Han,€525K,€3K
Rasmus Karjalainen,€675K,€3K
Donovan Léon,€425K,€3K
Axel Bakayoko,€875K,€3K
Brenden Aaronson,€925K,€1K
Roberto Piccoli,€1000K,€5K
Marco Aratore,€450K,€2K
Faisal Darwish,€400K,€5K
David Wheeler,€450K,€3K
Steven Davies,€400K,€2K
Vito Hammershøj-Mistrati,€500K,€3K
Jón Dagur Þorsteinsson,€700K,€3K
Han-Noah Massengo,€875K,€1K
Michael Schimpelsberger,€375K,€4K
John O'Sullivan,€525K,€3K
Patrick Schorr,€525K,€1K
Saliou Sané,€550K,€4K
John Yeboah,€975K,€1K
Kohei Isa,€525K,€2K
Mücahit Akçay,€750K,€4K
Ivan Goranov,€0,€0
Koki Kotegawa,€450K,€2K
Robbe Quirynen,€825K,€1K
Luka Tankulić,€450K,€1K
Won Jae Park,€130K,€2K
Kwang Hoon Shin,€280K,€1K
Ryan Edwards,€600K,€3K
Manuel Kuttin,€425K,€2K
Oswal Álvarez,€650K,€1K
Filippo Melegoni,€975K,€1K
Matías Donato,€750K,€4K
Kyoung Rok Choi,€600K,€4K
Marco Firenze,€525K,€1K
Mateusz Lis,€575K,€1K
Glenn Middleton,€975K,€1K
Eryk Williamson,€675K,€2K
Guillem Jaime Serrano,€1000K,€20K
Carlos Julio Martínez,€525K,€2K
Terrence Boyd,€475K,€2K
Fredrik André Bjørkan,€600K,€1K
Joel Grant,€400K,€5K
Cody Cropper,€400K,€2K
Adama Sarr,€475K,€3K
Frans Dhia Putros,€525K,€3K
Cristian Álvarez,€525K,€1K
Mikael Norø Ingebrigtsen,€700K,€1K
Agostino Camigliano,€550K,€1K
Ulrik Saltnes,€525K,€1K
Muhammed Kiprit,€975K,€4K
Virgiliu Postolachi,€975K,€5K
Fridolin Wagner,€650K,€1K
Martín Payero,€975K,€3K
Kota Watanabe,€725K,€1K
Saúl Torres,€0,€0
Leonardo Marchi,€575K,€2K
Salvatore Caturano,€475K,€1K
David Gil Mohedano,€425K,€2K
Chris Eagles,€270K,€3K
Charalambos Stamboulidis,€550K,€2K
Sam Walker,€400K,€4K
Casper Højer Nielsen,€500K,€3K
Gianfranco Gazzaniga,€450K,€2K
Yong Joon Heo,€525K,€2K
Dominik Ernst,€375K,€2K
Marcel Seegert,€525K,€1K
Mason Toye,€775K,€2K
Kevin Walker,€425K,€2K
Dean Lewington,€130K,€2K
Jamie Hopcutt,€525K,€2K
Bozhidar Mitrev,€270K,€2K
Francisco José García Torres,€900K,€12K
Lucas Ribeiro dos Santos,€925K,€5K
Zourdine Thior,€800K,€5K
Maciej Dąbrowski,€290K,€2K
Philipp Kühn,€400K,€3K
Umberto Saracco,€450K,€1K
Nico Rieble,€550K,€1K
Przemysław Płacheta,€875K,€2K
Ľubomír Šatka,€675K,€2K
Mark O'Hara,€675K,€2K
Jon Sillero Monreal,€750K,€3K
Luke McGee,€500K,€2K
Łukasz Piątek,€220K,€1K
Harmeet Singh,€450K,€1K
Arda Kızıldağ,€925K,€3K
Dairon Asprilla,€475K,€2K
Youssef Maziz,€650K,€1K
Ousseynou Ndiaye,€1000K,€9K
Kevin Koffi,€280K,€1K
Hilal Ben Moussa,€500K,€3K
Mikael Anderson,€725K,€4K
Daam Foulon,€650K,€2K
Jack Hingert,€375K,€2K
Bernie Ibini,€475K,€3K
Samir Carruthers,€550K,€3K
Kazuhiko Chiba,€170K,€2K
Tomohiko Murayama,€290K,€1K
Danijel Petković,€400K,€4K
Se Jin Jeon,€800K,€1K
Achraf El Bouchataoui,€825K,€2K
Xiaolong Wang,€270K,€5K
Kohei Hattori,€450K,€1K
Giacomo Tulli,€400K,€1K
Donervon Daniels,€525K,€3K
Glenn Morris,€120K,€1K
Davor Lovren,€1000K,€5K
Alberto González Cespedosa,€575K,€1K
Cheikh Niasse,€900K,€4K
Daiki Hashioka,€725K,€2K
Jacob Mellis,€450K,€5K
Lucas Queiroz Canteiro,€750K,€1K
Oliver Hein,€375K,€3K
Lee Miller,€160K,€2K
Anthony Ralston,€650K,€1K
Scott Fraser,€625K,€2K
Rodolfo González,€375K,€1K
Sebastián Leyton,€550K,€1K
Mihai Voduț,€625K,€2K
Matthias Maak,€450K,€3K
Doğan Erdoğan,€675K,€6K
Ivan Jukić,€625K,€1K
Tiago Alexandre de Sousa Esgaio,€575K,€2K
Da Sol Kim,€350K,€1K
Marko Maroši,€425K,€2K
Jonathan Tamimi,€525K,€1K
Min Hyeok Kim,€525K,€1K
Matteo Brunori,€625K,€1K
Nicolas Izzillo,€600K,€1K
Leonardo Miguel Freijão Jasper,€140K,€2K
Andrés Schetino,€575K,€9K
Jeremias Lorch,€525K,€3K
Jaime Sierra Mateos,€850K,€5K
Maxime Busi,€775K,€2K
Alexander Díaz,€975K,€3K
Dino Kovačec,€575K,€3K
Daniel Powell,€450K,€4K
Dan Potts,€500K,€4K
Julian Derstroff,€475K,€3K
Vedran Janjetović,€290K,€2K
Tomasz Makowski,€825K,€1K
Carlos Cordero Pérez,€625K,€2K
Carlo Sickinger,€675K,€1K
Marco Collao,€1000K,€1K
Brian Figueroa,€725K,€4K
Rui F. da Cunha Correia,€575K,€1K
Gajodara Chatterjee,€0,€0
Craig Sibbald,€625K,€2K
Sang Heon Lee,€675K,€2K
Ragnar Ache,€700K,€2K
Brandt Bronico,€575K,€2K
Jesús Reguillos Moya,€270K,€2K
Ionuț Balaur,€375K,€2K
Christoph Kröpfl,€450K,€2K
Jorge Fernando dos Santos Silva,€525K,€2K
Tope Obadeyi,€450K,€2K
Dong Ho Jeong,€375K,€2K
Miha Blažič,€0,€0
Vesel Demaku,€725K,€2K
João Nuno Figueiredo Valido,€700K,€1K
Brian Easton,€325K,€2K
Sultan Ali Al Sawadi,€525K,€5K
Fernando Bersano,€750K,€3K
Santiago Briñone,€675K,€3K
